id,location,text
8.55E+17,South Africa,Seven placard-wielding supporters of civil rights group Reclaim The City disrupted Western Cape Premier Helen... https://t.co/jDkxxUXg9Y
8.55E+17,"Ngquza Hill, South Africa",RT @ZackieAchmat: Watch @ReclaimCT protest #tweetthis @helenzille https://t.co/qCxp7giJwW  @AndiMakinana @Eusebius @RediTlhabi
8.55E+17,Cape Town,When you told people last night that #Tafelberg wasn't suitable for affordable housing what did you base that on? @helenzille @ReclaimCT
8.55E+17,Jozi,"RT @DW_UCT: @helenzille stop tweeting, start listening poster at reclaim the city picket #StopTheSale #ReclaimCT #Tafelberg #270 https://t._Ñ_"
8.55E+17,Cape Town,.@helenzille @ReclaimCT Strange because every Social Housing Institution active in Cape Town says it is feasible on_Ñ_ https://t.co/VFeSOWrJCa
8.55E+17,Cape Town,.@helenzille @ReclaimCT Here is the type of development that is possible on the site AND a R70m land payment could_Ñ_ https://t.co/O7Guc8c4Bh
8.55E+17,Cape Town,.@helenzille @ReclaimCT Instead u relied on Department of Public Works_Ñé flimsy 3 pg _ÑÉfinancial viability_Ñé sham read_Ñ_ https://t.co/vpMsJ3k4XI
8.55E+17,Cape Town,".@helenzille @ReclaimCT Even more confusing, why u used dept with no experience in sector 2 do viability &amp; actively_Ñ_ https://t.co/ao9FOpKQk8"
8.55E+17,Cape Town,".@helenzille @ReclaimCT Even more confusing, why u used dept with no experience in sector 2 do viability &amp; actively_Ñ_ https://t.co/ao9FOpKQk8"
8.55E+17,Cape Town,".@helenzille @ReclaimCT Y do u have no vision on this? #Tafelberg will be hallmark of ur legacy, right now it's loo_Ñ_ https://t.co/NhTAlxiwt9"
8.55E+17,"Cape Town, Toronto, Quito ","RT @DW_UCT: @helenzille stop tweeting, start listening poster at reclaim the city picket #StopTheSale #ReclaimCT #Tafelberg #270 https://t._Ñ_"
8.55E+17,"Cape Town, South Africa",@ZackieAchmat @brettherron @AndiMakinana @RediTlhabi @Eusebius @GavinSilber @NdifunaUkwazi @equal_education_Ñ_ https://t.co/dCSbgTl7GS
8.55E+17,"Soweto, South Africa",RT @bargematt: @ZackieAchmat @brettherron @AndiMakinana @RediTlhabi @Eusebius @GavinSilber @NdifunaUkwazi @equal_education @pierredevos @pe_Ñ_
8.55E+17,Cape Town South Africa,RT @bargematt: @ZackieAchmat @brettherron @AndiMakinana @RediTlhabi @Eusebius @GavinSilber @NdifunaUkwazi @equal_education @pierredevos @pe_Ñ_
8.55E+17,"Table View, Cape Town",RT @ReclaimCT: Last night @ReclaimCT went for supper with @helenzille done with the lies and excuses on Tafelberg. Read our demands https:/_Ñ_
8.55E+17,Cape Town,@ZackieAchmat @AndiMakinana @RediTlhabi @Eusebius @bargematt @GavinSilber @NdifunaUkwazi @equal_education_Ñ_ https://t.co/Tugn2TMsCJ
8.55E+17,"Cape Town, South Africa",RT @GrowAwaySA: When you told people last night that #Tafelberg wasn't suitable for affordable housing what did you base that on? @helenzil_Ñ_
8.55E+17,"Cape Town, South Africa",RT @GrowAwaySA: .@helenzille @ReclaimCT Here is the type of development that is possible on the site AND a R70m land payment could be gener_Ñ_
8.55E+17,"Cape Town, South Africa",RT @GrowAwaySA: .@helenzille @ReclaimCT Instead u relied on Department of Public Works_Ñé flimsy 3 pg _ÑÉfinancial viability_Ñé sham read here 4_Ñ_
8.55E+17,"Cape Town, South Africa","RT @GrowAwaySA: .@helenzille @ReclaimCT Even more confusing, why u used dept with no experience in sector 2 do viability &amp; actively blocked_Ñ_"
8.55E+17,"Cape Town, South Africa","RT @GrowAwaySA: .@helenzille @ReclaimCT Y do u have no vision on this? #Tafelberg will be hallmark of ur legacy, right now it's looking bad_Ñ_"
8.55E+17,"Paarl, South Africa ",RT @GrowAwaySA: .@helenzille @ReclaimCT Strange because every Social Housing Institution active in Cape Town says it is feasible on the sit_Ñ_
8.55E+17,South Africa,RT @ReclaimCT: So @helenzille and conflicted Gary Fisher who have not built a single social housing unit in the inner city now know better_Ñ_
8.55E+17,"Cape Town, South Africa",RT @brettherron: @ZackieAchmat @AndiMakinana @RediTlhabi @Eusebius @bargematt @GavinSilber @NdifunaUkwazi @equal_education @pierredevos @pe_Ñ_
8.55E+17,Johannesburg,RT @ReclaimCT: So @helenzille and conflicted Gary Fisher who have not built a single social housing unit in the inner city now know better_Ñ_
8.55E+17,Johannesburg,RT @GrowAwaySA: .@helenzille @ReclaimCT Here is the type of development that is possible on the site AND a R70m land payment could be gener_Ñ_
8.55E+17,Cape Town - South Africa,RT @ReclaimCT: So @helenzille and conflicted Gary Fisher who have not built a single social housing unit in the inner city now know better_Ñ_
8.56E+17,Johannesburg South Africa,RT @ReclaimCT: So @helenzille and conflicted Gary Fisher who have not built a single social housing unit in the inner city now know better_Ñ_
8.56E+17,"Green Point, Cape Town","RT @GrowAwaySA: .@helenzille @ReclaimCT Y do u have no vision on this? #Tafelberg will be hallmark of ur legacy, right now it's looking bad_Ñ_"
8.56E+17,"Kommetjie, Cape Town",RT @GrowAwaySA: When you told people last night that #Tafelberg wasn't suitable for affordable housing what did you base that on? @helenzil_Ñ_
8.56E+17,"Kommetjie, Cape Town",RT @GrowAwaySA: When you told people last night that #Tafelberg wasn't suitable for affordable housing what did you base that on? @helenzil_Ñ_
8.56E+17,Cape Town South Africa,@brettherron @AndiMakinana @RediTlhabi @Eusebius @bargematt @GavinSilber @NdifunaUkwazi @equal_education_Ñ_ https://t.co/hgPQfpesF5
8.56E+17,"Cape Town, Mzansi Afrika",@Bornfreeshotl8r @MzwaneleManyi @c0nvey @ReclaimCT
8.56E+17,"Cape Town, Mzansi Afrika",@Bornfreeshotl8r @MzwaneleManyi @c0nvey @ReclaimCT
8.56E+17,"Cape Town, Mzansi Afrika",@Bornfreeshotl8r @MzwaneleManyi @c0nvey @ReclaimCT
8.56E+17,"Johannesburg, South Africa",RT @ZackieAchmat: @brettherron @AndiMakinana @RediTlhabi @Eusebius @bargematt @GavinSilber @NdifunaUkwazi @equal_education @pierredevos @pe_Ñ_
8.58E+17,South Africa,RT @HorbachBonnie: On closing the gap of spatial inequality | @futurecapetown @green_pippa  @kapelianis @BDliveSA @SikiGeyaMdingi | https:/_Ñ_
8.58E+17,"Green Templeton College,Oxford",RT @GroundUp_News: Khayelitsha meeting calls for Zuma_Ñés dismissal. https://t.co/duH6CNSDN8 @NdifunaUkwazi @sjcoalition @tac
8.58E+17,"Green Templeton College,Oxford",RT @GroundUp_News: Khayelitsha meeting calls for Zuma_Ñés dismissal. https://t.co/duH6CNSDN8 @NdifunaUkwazi @sjcoalition @tac
8.58E+17,"Green Templeton College,Oxford",RT @GroundUp_News: Khayelitsha meeting calls for Zuma_Ñés dismissal. https://t.co/duH6CNSDN8 @NdifunaUkwazi @sjcoalition @tac
8.58E+17,"Cape Town, South Africa",RT @GroundUp_News: Khayelitsha meeting calls for Zuma_Ñés dismissal. https://t.co/duH6CNSDN8 @NdifunaUkwazi @sjcoalition @tac
8.58E+17,Cape Town,"Zuma must go now, Pityana tells Port Elizabeth crowd: https://t.co/40g5B0hPkj @equal_education @NdifunaUkwazi @sjcoalition"
8.58E+17,Cape Town,"Zuma must go now, Pityana tells Port Elizabeth crowd: https://t.co/40g5B0hPkj @equal_education @NdifunaUkwazi @sjcoalition"
8.58E+17,Cape Town,"Zuma must go now, Pityana tells Port Elizabeth crowd: https://t.co/40g5B0hPkj @equal_education @NdifunaUkwazi @sjcoalition"
8.58E+17,Cape Town,"Zuma must go now, Pityana tells Port Elizabeth crowd: https://t.co/40g5B0hPkj @equal_education @NdifunaUkwazi @sjcoalition"
8.58E+17,South Africa,"RT @GroundUp_News: Zuma must go now, Pityana tells Port Elizabeth crowd: https://t.co/40g5B0hPkj @equal_education @NdifunaUkwazi @sjcoaliti_Ñ_"
8.58E+17,South Africa,"RT @GroundUp_News: Zuma must go now, Pityana tells Port Elizabeth crowd: https://t.co/40g5B0hPkj @equal_education @NdifunaUkwazi @sjcoaliti_Ñ_"
8.56E+17,Johannesburg,"New level of desperation &amp; disgrace by @helenzille as she plays typical identity politics re #Tafelberg, fabricatin_Ñ_ https://t.co/KAqtbfFYGY"
8.56E+17,ZA,"RT @doronisaacs: New level of desperation &amp; disgrace by @helenzille as she plays typical identity politics re #Tafelberg, fabricating anti-_Ñ_"
8.56E+17,"Cape Town, South Africa",@doronisaacs @helenzille Also clear indication her cabinet FAILED to look at all submissions in relation to_Ñ_ https://t.co/SOAlH6OZmB
8.56E+17,"Cape Town, South Africa",@doronisaacs @helenzille Also clear indication her cabinet FAILED to look at all submissions in relation to_Ñ_ https://t.co/SOAlH6OZmB
8.56E+17,"Cape Town, South Africa","RT @doronisaacs: New level of desperation &amp; disgrace by @helenzille as she plays typical identity politics re #Tafelberg, fabricating anti-_Ñ_"
8.56E+17,South Africa,"RT @doronisaacs: New level of desperation &amp; disgrace by @helenzille as she plays typical identity politics re #Tafelberg, fabricating anti-_Ñ_"
8.56E+17,"Cape Town, South Africa","A game of these things are not the same! Where are the facts @helenzille? Do you not know, are you incompetent &amp;/or_Ñ_ https://t.co/uSv0Iu2hAI"
8.56E+17,"Cape Town, South Africa","A game of these things are not the same! Where are the facts @helenzille? Do you not know, are you incompetent &amp;/or_Ñ_ https://t.co/uSv0Iu2hAI"
8.56E+17,"Cape Town, South Africa",.@helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @GrowAwaySA_Ñ_ https://t.co/8h9hLcd3G3
8.56E+17,"Cape Town, South Africa",.@helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @GrowAwaySA_Ñ_ https://t.co/8h9hLcd3G3
8.56E+17,Cape Town,@dalli_weyers @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra_Ñ_ https://t.co/IRNCxjL2UW
8.56E+17,Cape Town,@dalli_weyers @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra_Ñ_ https://t.co/IRNCxjL2UW
8.56E+17,"Cape Town, South Africa",@Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @GrowAwaySA_Ñ_ https://t.co/6vNMzmtxFp
8.56E+17,"Cape Town, South Africa",@Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @GrowAwaySA_Ñ_ https://t.co/6vNMzmtxFp
8.56E+17,South Africa,@Swannie1 @dalli_weyers @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat_Ñ_ https://t.co/rCH4hiaKZq
8.56E+17,South Africa,@Swannie1 @dalli_weyers @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat_Ñ_ https://t.co/rCH4hiaKZq
8.56E+17,Cape Town,RT @Bluewave4: @Swannie1 @dalli_weyers @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @GrowAw_Ñ_
8.56E+17,Cape Town,RT @Bluewave4: @Swannie1 @dalli_weyers @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @GrowAw_Ñ_
8.56E+17,"Cape Town, South Africa",@Bluewave4 @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra_Ñ_ https://t.co/RJUxXUKEQZ
8.56E+17,"Cape Town, South Africa",@Bluewave4 @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra_Ñ_ https://t.co/RJUxXUKEQZ
8.56E+17,Cape Town,@Bluewave4 @Swannie1 @dalli_weyers @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat_Ñ_ https://t.co/j32rh2YNYc
8.56E+17,Cape Town,@Bluewave4 @Swannie1 @dalli_weyers @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat_Ñ_ https://t.co/j32rh2YNYc
8.56E+17,Cape Town,@Bluewave4 @Swannie1 @dalli_weyers @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat_Ñ_ https://t.co/j32rh2YNYc
8.56E+17,Cape Town,@Bluewave4 @Swannie1 @dalli_weyers @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat_Ñ_ https://t.co/j32rh2YNYc
8.56E+17,South Africa,@GrowAwaySA @Swannie1 @dalli_weyers @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat_Ñ_ https://t.co/4uNHGirUwn
8.56E+17,South Africa,@GrowAwaySA @Swannie1 @dalli_weyers @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat_Ñ_ https://t.co/4uNHGirUwn
8.56E+17,South Africa,Support @ReclaimCT as they push @CityofCT &amp; @WesternCapeGov to advance social housing. Sign up here: https://t.co/tB3EKNyTmp #Tafelberg
8.56E+17,South Africa,Support @ReclaimCT as they push @CityofCT &amp; @WesternCapeGov to advance social housing. Sign up here: https://t.co/tB3EKNyTmp #Tafelberg
8.56E+17,South Africa,Support @ReclaimCT as they push @CityofCT &amp; @WesternCapeGov to advance social housing. Sign up here: https://t.co/tB3EKNyTmp #Tafelberg
8.56E+17,South Africa,Support @ReclaimCT as they push @CityofCT &amp; @WesternCapeGov to advance social housing. Sign up here: https://t.co/tB3EKNyTmp #Tafelberg
8.56E+17,South Africa,RT @GrowAwaySA: @Bluewave4 @Swannie1 @dalli_weyers @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibMa_Ñ_
8.56E+17,South Africa,RT @GrowAwaySA: @Bluewave4 @Swannie1 @dalli_weyers @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibMa_Ñ_
8.56E+17,"Cape Town, South Africa",RT @GrowAwaySA: @Bluewave4 @Swannie1 @dalli_weyers @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibMa_Ñ_
8.56E+17,"Cape Town, South Africa",RT @GrowAwaySA: @Bluewave4 @Swannie1 @dalli_weyers @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibMa_Ñ_
8.56E+17,South Africa,RT @GrowAwaySA: @Bluewave4 @Swannie1 @dalli_weyers @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibMa_Ñ_
8.56E+17,South Africa,RT @GrowAwaySA: @Bluewave4 @Swannie1 @dalli_weyers @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibMa_Ñ_
8.56E+17,"South Africa, Capetown",RT @dalli_weyers: @doronisaacs @helenzille Also clear indication her cabinet FAILED to look at all submissions in relation to #Tafelberg. P_Ñ_
8.56E+17,"South Africa, Capetown",RT @dalli_weyers: @doronisaacs @helenzille Also clear indication her cabinet FAILED to look at all submissions in relation to #Tafelberg. P_Ñ_
8.56E+17,"Capetown, South Africa",RT @dalli_weyers: @doronisaacs @helenzille Also clear indication her cabinet FAILED to look at all submissions in relation to #Tafelberg. P_Ñ_
8.56E+17,"Capetown, South Africa",RT @dalli_weyers: @doronisaacs @helenzille Also clear indication her cabinet FAILED to look at all submissions in relation to #Tafelberg. P_Ñ_
8.56E+17,"South Africa, Mpumalanga",RT @dalli_weyers: @doronisaacs @helenzille Also clear indication her cabinet FAILED to look at all submissions in relation to #Tafelberg. P_Ñ_
8.56E+17,"South Africa, Mpumalanga",RT @dalli_weyers: @doronisaacs @helenzille Also clear indication her cabinet FAILED to look at all submissions in relation to #Tafelberg. P_Ñ_
8.56E+17,Cape Town,@dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat_Ñ_ https://t.co/7gDkcONkMy
8.56E+17,Cape Town,@dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat_Ñ_ https://t.co/7gDkcONkMy
8.56E+17,"Cape Town, South Africa",RT @GrowAwaySA: @dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @daily_Ñ_
8.56E+17,"Cape Town, South Africa",RT @GrowAwaySA: @dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @daily_Ñ_
8.56E+17,Cape Town,@dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat_Ñ_ https://t.co/dzijyoCGSc
8.56E+17,Cape Town,@dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat_Ñ_ https://t.co/dzijyoCGSc
8.56E+17,Cape Town,@dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat_Ñ_ https://t.co/0bjEPgWfQj
8.56E+17,Cape Town,@dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat_Ñ_ https://t.co/0bjEPgWfQj
8.56E+17,Cape Town,@dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat_Ñ_ https://t.co/0bjEPgWfQj
8.56E+17,Cape Town,@dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat_Ñ_ https://t.co/0bjEPgWfQj
8.56E+17,"Capetown, South Africa",RT @dalli_weyers: @doronisaacs @helenzille Also clear indication her cabinet FAILED to look at all submissions in relation to #Tafelberg. P_Ñ_
8.56E+17,"Capetown, South Africa",RT @dalli_weyers: @doronisaacs @helenzille Also clear indication her cabinet FAILED to look at all submissions in relation to #Tafelberg. P_Ñ_
8.56E+17,"Cape Town, South Africa",RT @GrowAwaySA: @dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @daily_Ñ_
8.56E+17,"Cape Town, South Africa",RT @GrowAwaySA: @dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @daily_Ñ_
8.56E+17,"Cape Town, South Africa",RT @GrowAwaySA: @dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @daily_Ñ_
8.56E+17,cape town,"RT @doronisaacs: New level of desperation &amp; disgrace by @helenzille as she plays typical identity politics re #Tafelberg, fabricating anti-_Ñ_"
8.56E+17,Johannesburg,"RT @thedailyvox: Two decades after the end of apartheid, Cape Town is still, undeniably, segregated along racial and economic lines https:/_Ñ_"
8.56E+17,Cape Town,RT @GrowAwaySA: @dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @daily_Ñ_
8.56E+17,Cape Town,RT @GrowAwaySA: @dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @daily_Ñ_
8.56E+17,South Africa,"RT @thedailyvox: Two decades after the end of apartheid, Cape Town is still, undeniably, segregated along racial and economic lines https:/_Ñ_"
8.56E+17,South Africa,"RT @thedailyvox: Two decades after the end of apartheid, Cape Town is still, undeniably, segregated along racial and economic lines https:/_Ñ_"
8.56E+17,South Africa,"RT @thedailyvox: Two decades after the end of apartheid, Cape Town is still, undeniably, segregated along racial and economic lines https:/_Ñ_"
8.56E+17,South Africa,RT @GrowAwaySA: @dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @daily_Ñ_
8.56E+17,South Africa,RT @GrowAwaySA: @dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @daily_Ñ_
8.56E+17,South Africa,RT @GrowAwaySA: @dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @daily_Ñ_
8.56E+17,South Africa,RT @GrowAwaySA: @dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @daily_Ñ_
8.56E+17,South Africa,RT @GrowAwaySA: @dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @daily_Ñ_
8.56E+17,South Africa,RT @GrowAwaySA: @dalli_weyers @Swannie1 @helenzille @CarlaKatjie @doronisaacs @ReclaimCT @TshepoTMotsepe @ZackieAchmat @ShuaibManjra @daily_Ñ_
